"Sample","Raw","Cutadapt","Filtered","Merged","Nonchim"
"FCN-1A",4993,3997,301,33,33
"FCN-1B",3412,2687,685,485,485
"FCN-1C",6643,5539,217,23,23
"FCN-1D",4201,3206,429,129,129
"FCN-2A",78077,75782,32204,31159,31120
"FCN-2B",80203,77886,29601,28706,28698
"FCN-3A",4760,2883,522,53,53
"FCN-3B",32798,22005,1013,77,77
"PCN-1",5536,4233,372,4,4
"PCN-2",3242,1587,749,139,139
"PCN-3",20152,18532,530,50,50
"PCN-4",4165,3520,281,0,0
"PCP-1",7345,5685,531,87,87
"PCP-2",382260,375591,328489,324578,324108
"PCP-3",54544,53242,52468,51832,51832
"PCP-4",32214,31363,30060,29673,29673
"T002-BSL1",7894,6406,2684,1548,1433
"T002-BSL2",24547,20919,7562,5759,5312
"T002-BSR1",48497,47661,45530,42722,41363
"T002-BSR2",39891,38869,37289,34887,33737
"T007-BEL1",54677,53809,52026,49109,47955
"T007-BEL2",3242,2921,1202,1001,1001
"T007-BER1",91431,89470,83921,76794,73635
"T007-BER2",89001,87037,86163,80693,77652
"T009-SOL1",56336,53693,15935,15027,14981
"T009-SOL2",54426,53185,36527,34900,34326
"T009-SOR1",33201,32405,27839,24580,23049
"T009-SOR2",26290,25582,14190,13123,13004
"T011-SOL1",29773,26477,22120,19372,17123
"T011-SOL2",30290,28942,21927,18212,17707
"T011-SOR1",52163,51087,30320,28627,28371
"T011-SOR2",75925,74050,73093,68624,67480
"T012-OWL1",10429,6248,502,14,14
"T012-OWL2",20015,10381,782,31,31
"T012-OWR1",4561,4102,642,348,348
"T012-OWR2",7574,7096,1313,1100,1100
"T014-LUL1",84756,82331,73409,71947,69899
"T014-LUL2",33244,32050,20265,19572,16389
"T014-LUR1",71500,69598,52079,49690,47853
"T014-LUR2",26010,25143,17920,16361,15961
"T015-VSL1",7240,5911,842,582,582
"T015-VSL2",6798,5299,287,31,31
"T015-VSR1",86881,85215,82799,78255,76435
"T015-VSR2",4135,3829,2410,1880,1880
"T016-VSL1",55146,53171,44809,41512,40096
"T016-VSL2",42533,41476,40130,37000,35484
"T016-VSR1",9248,8294,518,231,231
"T016-VSR2",7779,7328,4642,3862,3724
"T017-VSL1",42478,41630,40894,37711,36099
"T017-VSL2",55571,53126,18169,17229,17054
"T017-VSR1",47966,44576,32028,30095,29464
"T017-VSR2",68967,66935,63639,58705,57093
"T018-VSL1",4068,3507,274,49,49
"T018-VSL2",6064,5600,2260,1660,1660
"T018-VSR1",112167,109525,101959,95575,91260
"T018-VSR2",69919,67963,64674,60253,57899
"T020-VDL1",14712,11562,2340,1810,1810
"T020-VDL2",4331,3104,422,150,150
"T020-VDR1",5660,5200,198,30,30
"T020-VDR2",3235,3041,1266,1065,1053
"T021-VDL1",8021,7494,2699,2182,2179
"T021-VDL2",2388,1987,281,34,34
"T021-VDR1",6627,6251,5036,4569,4518
"T021-VDR2",5403,5022,1338,1068,1068
"T022-VDL1",66007,63234,12254,11201,11043
"T022-VDL2",53942,52576,30310,27782,27228
