order,family,species,Spez_001_AG,Spez_002_AG,Spez_003_AG,Spez_004_AG,Spez_005_AG,Spez_006_AG,Spez_007_AG,Spez_008_AI,Spez_009_AI,Spez_010_AR,Spez_011_AR,Spez_012_BE,Spez_013_BE,Spez_014_BE,Spez_015_BE,Spez_016_BE,Spez_017_BE,Spez_018_BE,Spez_019_BE,Spez_020_BE,Spez_021_BE,Spez_022_BE,Spez_023_BE,Spez_024_BL,Spez_025_BL,Spez_026_BS,Spez_027_FR,Spez_028_FR,Spez_029_FR,Spez_030_FR,Spez_031_FR,Spez_032_FR,Spez_033_FR,Spez_034_GE,Spez_035_GE,Spez_036_GL,Spez_037_GL,Spez_038_GR,Spez_039_GR,Spez_040_GR,Spez_041_GR,Spez_042_GR,Spez_043_JU,Spez_044_JU,Spez_045_JU,Spez_046_LU,Spez_047_LU,Spez_048_LU,Spez_049_LU,Spez_050_LU,Spez_051_LU,Spez_052_NE,Spez_053_NE,Spez_054_NW,Spez_055_OW,Spez_056_OW,Spez_057_SG,Spez_058_SG,Spez_059_SG,Spez_060_SG,Spez_061_SG,Spez_062_SH,Spez_063_SH,Spez_064_SH,Spez_065_SO,Spez_066_SO,Spez_067_SO,Spez_068_SZ,Spez_069_SZ,Spez_070_ZH,Spez_071_TG,Spez_072_TG,Spez_073_TG,Spez_074_TI,Spez_075_TI,Spez_076_TI,Spez_077_TI,Spez_078_UR,Spez_079_UR,Spez_080_VD,Spez_081_VD,Spez_082_VD,Spez_083_VD,Spez_084_VD,Spez_085_VD,Spez_086_VD,Spez_087_VD,Spez_088_VS,Spez_089_VS,Spez_090_VS,Spez_091_VS,Spez_092_VS,Spez_093_ZG,Spez_094_ZG,Spez_095_ZH,Spez_096_ZH,Spez_097_ZH,Spez_098_ZH,Spez_099_ZH,Spez_100_ZH
Ephemeroptera,Baetidae,Alainites muticus,0,45,0,2,20,0,46,20,4,23,133,98,132,7,0,0,0,0,0,6,51,0,14,0,14,0,0,65,12,40,101,39,54,0,0,0,3,0,0,3,11,0,0,11,301,5,104,0,29,0,0,0,0,206,29,0,0,0,0,2,0,1,149,1,6,3,65,23,29,0,0,1,4,12,0,0,0,0,0,10,0,8,9,0,5,1,33,0,0,0,0,0,7,4,0,5,0,0,0,0
Ephemeroptera,Baetidae,Baetis alpinus,0,0,60,0,2,0,0,91,13,440,284,153,0,17,0,10,0,1,715,0,102,167,20,0,1,0,0,0,4,1,2,2,1,1,0,0,21,10,9,20,0,21,0,1,8,0,4,0,0,0,2,0,0,283,43,5,0,0,0,60,0,0,0,0,5,0,844,0,20,0,0,0,0,59,0,1,0,0,124,28,0,0,0,0,10,0,21,1,18,7,710,0,0,109,0,210,1,0,0,0
Ephemeroptera,Baetidae,Baetis buceratus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Baetidae,Baetis fuscatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Baetidae,Baetis liebenauae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,58,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Baetidae,Baetis lutheri,9,4,0,0,3,233,335,78,0,330,1,0,0,37,42,0,0,0,2,0,0,0,4,0,3,0,1,0,5,0,0,80,54,0,0,0,0,0,0,0,0,0,0,0,167,1,90,2,41,1,1,0,0,0,0,3,0,0,0,28,0,0,0,0,1,1,52,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,19,0,0,0,0,0,0,0,19,15,0,58,0,0,0,0
Ephemeroptera,Baetidae,Baetis melanonyx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Baetidae,Baetis muticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27
Ephemeroptera,Baetidae,Baetis pentaphlebodes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Baetidae,Baetis rhodani,132,276,313,63,362,351,617,2086,5,1,1032,38,14,189,226,156,1,2,1172,6,31,1,135,38,73,34,59,133,84,5,101,137,158,19,65,464,91,0,0,3,0,1,6,388,783,461,128,20,112,342,123,207,35,874,187,200,199,183,97,20,3,105,37,42,384,392,281,1812,105,25,6,113,292,25,0,72,25,27,3,142,3,4,133,40,101,100,26,62,4,1,0,11,358,161,58,0,84,0,345,41
