order,family,species,Spez_001_AG,Spez_002_AG,Spez_003_AG,Spez_004_AG,Spez_005_AG,Spez_006_AG,Spez_007_AG,Spez_008_AI,Spez_009_AI,Spez_010_AR,Spez_011_AR,Spez_012_BE,Spez_013_BE,Spez_014_BE,Spez_015_BE,Spez_016_BE,Spez_017_BE,Spez_018_BE,Spez_019_BE,Spez_020_BE,Spez_021_BE,Spez_022_BE,Spez_023_BE,Spez_024_BL,Spez_025_BL,Spez_026_BS,Spez_027_FR,Spez_028_FR,Spez_029_FR,Spez_030_VD,Spez_031_FR,Spez_032_FR ,Spez_033_FR,Spez_034_GE,Spez_035_GE,Spez_036_GL,Spez_037_GL,Spez_038_GR,Spez_039_GR,Spez_040_GR,Spez_041_GR,Spez_042_GR,Spez_043_JU,Spez_044_JU,Spez_045_JU,Spez_046_LU,Spez_047_LU,Spez_048_LU,Spez_049_LU,Spez_050_LU,Spez_051_LU,Spez_052_NE,Spez_053_NE,Spez_054_NW,Spez_055_OW,Spez_056_OW,Spez_057_SG,Spez_058_SG,Spez_059_SG,Spez_060_SG,Spez_061_SG,Spez_062_SH,Spez_063_SH,Spez_064_SH,Spez_065_SO,Spez_066_SO,Spez_067_SO,Spez_068_SZ,Spez_069_SZ,Spez_070_TG,Spez_071_TG,Spez_072_TG,Spez_073_TG,Spez_074_TI,Spez_075_TI,Spez_076_TI,Spez_077_TI,Spez_078_UR,Spez_079_UR,Spez_080_VD,Spez_081_VD,Spez_082_VD,Spez_083_VD,Spez_084_VD,Spez_085_VD,Spez_086_VD,Spez_087_VD,Spez_088_VS,Spez_089_VS,Spez_090_VS,Spez_091_VS,Spez_092_VS,Spez_093_ZG,Spez_094_ZG,Spez_095_ZH,Spez_096_ZH,Spez_097_ZH,Spez_098_ZH,Spez_099_ZH,Spez_100_ZH
Ephemeroptera,Baetidae,Alainites muticus,0,1,0,0,3,0,24,0,1,11,1,0,36,8,0,1,0,0,0,0,19,2,5,0,5,0,0,4,22,7,4,3,39,0,0,0,0,0,0,0,0,0,0,17,187,1,62,0,14,11,0,0,0,7,6,11,0,0,0,1,0,12,28,0,1,0,13,0,2,0,0,0,1,3,0,0,0,0,0,14,0,118,6,5,1,1,118,0,0,0,0,0,1,1,0,3,12,0,0,0
Ephemeroptera,Baetidae,Baetis alpinus,0,0,29,0,3,0,0,0,92,27,7,1186,0,0,0,0,0,0,3,0,22,281,16,0,3,0,0,0,0,25,2,5,16,0,0,0,0,5,255,28,18,6,0,0,23,0,0,0,0,0,0,0,0,0,74,1,0,0,0,70,0,0,0,0,0,0,356,0,29,0,0,0,0,0,0,0,0,0,396,24,0,0,0,0,1,0,0,0,1,39,139,1,0,107,0,0,0,0,0,1
Ephemeroptera,Baetidae,Baetis buceratus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Baetidae,Baetis fuscatus,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Baetidae,Baetis liebenauae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Baetidae,Baetis lutheri,32,0,0,0,66,177,14,2,0,0,1,0,0,31,0,16,0,0,28,0,0,0,2,0,0,0,0,0,3,1,0,94,58,0,0,0,0,0,0,0,0,0,0,65,179,0,146,0,14,11,3,0,0,0,0,4,0,0,0,217,0,0,1,0,0,3,13,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18,0,251,0,0,0,0
Ephemeroptera,Baetidae,Baetis melanonyx,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,16,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,9,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,0,2,0,0,0,0,0,0,0,0,0,0,2
Ephemeroptera,Baetidae,Baetis pentaphlebodes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Baetidae,Baetis rhodani,1450,5,90,3,909,669,7,93,138,388,477,39,18,730,158,106,5,0,201,33,29,0,319,0,20,4,26,114,158,107,1400,118,225,0,5,40,0,0,28,32,12,1,11,283,431,4,1025,5,122,946,60,1437,369,6,74,50,31,350,1210,532,0,1380,30,26,13,215,748,758,106,0,0,7,8,12,0,0,6,23,75,42,0,65,384,305,61,15,15,121,1,304,3,142,0,148,0,33,492,0,20,13
Ephemeroptera,Baetidae,Baetis scambus,0,0,0,0,0,0,4,1,2,0,0,0,0,2,0,107,0,0,21,0,0,0,0,0,5,0,0,0,31,0,1,8,0,0,0,0,0,0,0,0,0,0,0,10,7,0,94,0,207,177,21,0,0,0,262,74,0,0,0,2,0,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,3,50,0,0,0,0,1,0
