order,family,species,CH_002_BS,CH_007_BE,CH_009_SO,CH_011_SO,CH_012_OW,CH_014_LU,CH_015_VS,CH_016_VS,CH_017_VS,CH_018_VS,CH_020_VD,CH_021_VD,CH_022_VD,CH_023_SG,CH_025_SG,CH_026_SG,CH_027_SG,CH_028_SG,CH_032_AG,CH_033_AG,CH_034_AG,CH_035_AG,CH_036_AG,CH_039_AG,CH_040_ZH,CH_041_ZH,CH_042_ZH,CH_043_ZH,CH_044_ZH,CH_045_ZH,CH_046_ZH,CH_047_ZH,CH_048_ZH,CH_049_ZH,CH_050_ZH,CH_054_FR,CH_056_BE,CH_058_BE,CH_059_BE,CH_060_BE,CH_062_BE,CH_063_BE,CH_065_ZH,CH_066_ZH,CH_067_BL,CH_068_JU,CH_069_JU,CH_070_TG,CH_071_TG,CH_072_TG,CH_073_TG,CH_074_NW,CH_075_ZG,CH_076_ZG,CH_079_AG,CH_084_JU,CH_085_NE,CH_086_GE,CH_087_JU,CH_088_JU,CH_089_SO,CH_091_GR,CH_092_BE,CH_093_LU,CH_094_BE,CH_095_GR,CH_098_TI,CH_099_TI,CH_100_SZ,CH_101_UR,CH_106_BE,CH_107_FR,CH_111_AG,CH_114_BE,CH_115_AI,CH_116_LU,CH_119_NE,CH_123_TI,CH_126_VD,CH_127_VD,CH_128_VD,CH_129_VD,CH_130_VD,CH_131_VD,CH_132_VD,CH_133_BE,CH_134_BE,CH_135_AR,CH_136_AG,CH_137_AG,CH_138_BE,CH_139_BE,CH_140_FR,CH_141_JU,CH_143_SG,CH_144_SG,CH_145_SH,CH_146_SH,CH_147_TG,CH_148_TG,CH_149_TI,CH_150_VD,CH_151_VD,CH_152_VS,CH_153_NE,CH_154_LU
Ephemeroptera,Ameletidae,Ameletus inopinatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Ameletidae,Metreletus balcanicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Arthropleidae,Arthroplea congener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Baetidae,Acentrella sinaica,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Baetidae,Alainites muticus,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,7,0,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,4,0,0,0,0,1,72,126,0,1,3,0,0,0,0,0,0,0,0,14,0,1,0,0,0,53,0,1,0,1,0,1,16,0,0,13,0,0,147,22,0,54,79,18,2,0,4,32,0,22,79,0,0,2,8,0,0,0,3,0,0,0,89,11,0,0,1
Ephemeroptera,Baetidae,Baetis alpinus,0,0,0,0,1,0,390,118,48,370,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,150,0,0,0,0,0,1,0,0,0,1,0,0,0,0,155,0,0,0,0,0,0,0,0,0,236,120,5,0,49,17,21,193,112,0,8,0,45,13,0,0,51,0,0,0,0,0,2,90,366,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Baetidae,Baetis buceratus,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0
Ephemeroptera,Baetidae,Baetis fuscatus-K.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Baetidae,Baetis fuscatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Baetidae,Baetis scambus,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
