layer,site_code,category,n,description
AS18_72,CH_002_BS,1,73,Bâtiments industriels et artisanaux
AS18_72,CH_002_BS,2,81,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,CH_002_BS,3,80,Maisons individuelles et maisons de deux logements
AS18_72,CH_002_BS,4,341,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,CH_002_BS,5,37,Maisons alignées et en terrasses
AS18_72,CH_002_BS,6,61,Terrains attenants aux maisons alignées et en terrasses
AS18_72,CH_002_BS,7,59,Immeubles résidentiels
AS18_72,CH_002_BS,8,154,Terrains attenants aux immeubles résidentiels
AS18_72,CH_002_BS,9,20,Bâtiments publics
AS18_72,CH_002_BS,10,53,Terrains attenants aux bâtiments publics
AS18_72,CH_002_BS,11,9,Bâtiments agricoles
AS18_72,CH_002_BS,12,17,Terrains attenants aux bâtiments agricoles
AS18_72,CH_002_BS,13,12,Bâtiments non déterminés
AS18_72,CH_002_BS,14,17,Terrains attenants aux bâtiments non déterminés
AS18_72,CH_002_BS,15,15,Autoroutes
AS18_72,CH_002_BS,16,8,Bordures d'autoroutes
AS18_72,CH_002_BS,17,239,"Routes, chemins"
AS18_72,CH_002_BS,18,21,Bordures de routes
AS18_72,CH_002_BS,19,30,Aires de parc de stationnement
AS18_72,CH_002_BS,20,13,Aires ferroviaires stabilisées
AS18_72,CH_002_BS,21,5,Bordures de voies ferrées
AS18_72,CH_002_BS,25,3,Stations d'épuration des eaux usées
AS18_72,CH_002_BS,26,8,Autres installations d'approvisionnement et d'élimination
AS18_72,CH_002_BS,29,13,Chantiers
AS18_72,CH_002_BS,30,6,Friches et bâtiments désaffectés
AS18_72,CH_002_BS,31,17,Parcs publics
AS18_72,CH_002_BS,32,58,Installations de sport
AS18_72,CH_002_BS,34,5,Terrains de camping
AS18_72,CH_002_BS,35,20,Jardins ouvriers
AS18_72,CH_002_BS,36,7,Cimetières
AS18_72,CH_002_BS,37,15,Plantations fruitières
AS18_72,CH_002_BS,38,88,Arbres fruitiers de plein champ
AS18_72,CH_002_BS,39,28,Vignobles
AS18_72,CH_002_BS,40,29,Horticulture
AS18_72,CH_002_BS,41,580,Terres arables
AS18_72,CH_002_BS,42,226,Prairies naturelles
AS18_72,CH_002_BS,43,178,Pâturages locaux
AS18_72,CH_002_BS,50,1421,Forêt normale
AS18_72,CH_002_BS,51,39,Bande de forêt
AS18_72,CH_002_BS,53,61,Coupes de bois
AS18_72,CH_002_BS,54,1,Surfaces forestières dévastées
AS18_72,CH_002_BS,56,4,Forêt clairsemée (sur surfaces improductives)
AS18_72,CH_002_BS,58,33,"Bosquets, haies"
AS18_72,CH_002_BS,59,30,Groupes d'arbres (sur surfaces agricoles)
AS18_72,CH_002_BS,60,4,Groupes d’arbres (sur surfaces improductives)
AS18_72,CH_002_BS,61,4,Lacs
AS18_72,CH_002_BS,62,30,Cours d’eau
AS18_72,CH_002_BS,63,3,Ouvrages de protection contre les crues
AS18_72,CH_002_BS,65,8,Végétation herbacée improductive
AS18_72,CH_002_BS,71,1,Interventions dans le paysage
AS18_72,CH_007_BE,1,14,Bâtiments industriels et artisanaux
AS18_72,CH_007_BE,2,26,Terrains attenants aux bâtiments industriels et artisanaux
AS18_72,CH_007_BE,3,36,Maisons individuelles et maisons de deux logements
AS18_72,CH_007_BE,4,71,Terrains attenants aux maisons individuelles et aux maisons de deux logements
AS18_72,CH_007_BE,5,3,Maisons alignées et en terrasses
AS18_72,CH_007_BE,6,4,Terrains attenants aux maisons alignées et en terrasses
AS18_72,CH_007_BE,7,5,Immeubles résidentiels
AS18_72,CH_007_BE,8,20,Terrains attenants aux immeubles résidentiels
AS18_72,CH_007_BE,9,2,Bâtiments publics
AS18_72,CH_007_BE,10,2,Terrains attenants aux bâtiments publics
AS18_72,CH_007_BE,11,24,Bâtiments agricoles
AS18_72,CH_007_BE,12,25,Terrains attenants aux bâtiments agricoles
AS18_72,CH_007_BE,13,4,Bâtiments non déterminés
AS18_72,CH_007_BE,14,12,Terrains attenants aux bâtiments non déterminés
