site_code,description,lu_prop
CH_002_BS,Urban,0.35126807300308127
CH_002_BS,Agriculture,0.27115430196729084
CH_002_BS,Forest,0.3775776250296279
CH_007_BE,Urban,0.14331210191082802
CH_007_BE,Agriculture,0.5980184005661713
CH_007_BE,Forest,0.2586694975230007
CH_009_SO,Urban,0.08364466583644665
CH_009_SO,Agriculture,0.6174761311747613
CH_009_SO,Forest,0.298879202988792
CH_011_SO,Urban,0.05470830307431614
CH_011_SO,Agriculture,0.3982086661825224
CH_011_SO,Forest,0.5470830307431614
CH_012_OW,Urban,0.07831441216086203
CH_012_OW,Agriculture,0.4698864729651722
CH_012_OW,Forest,0.45179911487396573
CH_014_LU,Urban,0.3629723275740975
CH_014_LU,Agriculture,0.3190054782975137
CH_014_LU,Forest,0.31802219412838884
CH_015_VS,Urban,0.07858910891089109
CH_015_VS,Agriculture,0.3432343234323432
CH_015_VS,Forest,0.5781765676567657
CH_016_VS,Urban,0.05316834375849878
CH_016_VS,Agriculture,0.2805276040250204
CH_016_VS,Forest,0.6663040522164808
CH_017_VS,Urban,0.17510330578512398
CH_017_VS,Agriculture,0.29611865407319954
CH_017_VS,Forest,0.5287780401416765
CH_018_VS,Urban,0.06998787611594842
CH_018_VS,Agriculture,0.1778904441750248
CH_018_VS,Forest,0.7521216797090268
CH_020_VD,Urban,0.18055555555555555
CH_020_VD,Agriculture,0.6773023023023023
CH_020_VD,Forest,0.14214214214214213
CH_021_VD,Urban,0.3008130081300813
CH_021_VD,Agriculture,0.6527293844367015
CH_021_VD,Forest,0.04645760743321719
CH_022_VD,Urban,0.22549019607843138
CH_022_VD,Agriculture,0.6996904024767802
CH_022_VD,Forest,0.07481940144478844
CH_023_SG,Urban,0.39861111111111114
CH_023_SG,Agriculture,0.3560185185185185
CH_023_SG,Forest,0.24537037037037038
CH_025_SG,Urban,0.21082579515611322
CH_025_SG,Agriculture,0.48322147651006714
CH_025_SG,Forest,0.30595272833381965
CH_026_SG,Urban,0.16635213531837562
CH_026_SG,Agriculture,0.5870552876214441
CH_026_SG,Forest,0.24659257706018034
CH_027_SG,Urban,0.06531610199091861
CH_027_SG,Agriculture,0.5216556060076842
CH_027_SG,Forest,0.4130282920013971
CH_028_SG,Urban,0.17854558610709118
CH_028_SG,Agriculture,0.5625904486251809
CH_028_SG,Forest,0.2588639652677279
CH_032_AG,Urban,0.11523116639286553
CH_032_AG,Agriculture,0.3938042712978174
CH_032_AG,Forest,0.49096456230931707
CH_033_AG,Urban,0.1456400742115028
CH_033_AG,Agriculture,0.40282931354359924
CH_033_AG,Forest,0.45153061224489793
CH_034_AG,Urban,0.264622641509434
CH_034_AG,Agriculture,0.42900943396226415
CH_034_AG,Forest,0.30636792452830186
CH_035_AG,Urban,0.126322471434617
CH_035_AG,Agriculture,0.5120609394837071
CH_035_AG,Forest,0.3616165890816758
CH_036_AG,Urban,0.12840279450734762
CH_036_AG,Agriculture,0.5252951096121417
CH_036_AG,Forest,0.3463020958805107
CH_039_AG,Urban,0.24787115883006294
CH_039_AG,Agriculture,0.3798593113661607
CH_039_AG,Forest,0.37226952980377637
CH_040_ZH,Urban,0.6657035175879397
CH_040_ZH,Agriculture,0.09459798994974875
CH_040_ZH,Forest,0.23969849246231156
CH_041_ZH,Urban,0.18940900054220133
CH_041_ZH,Agriculture,0.4409904211097054
CH_041_ZH,Forest,0.36960057834809323
CH_042_ZH,Urban,0.4596100278551532
CH_042_ZH,Agriculture,0.17111022682053323
CH_042_ZH,Forest,0.36927974532431357
CH_043_ZH,Urban,0.2308026658939438
CH_043_ZH,Agriculture,0.5056505360764996
CH_043_ZH,Forest,0.26354679802955666
CH_044_ZH,Urban,0.2768931351733899
CH_044_ZH,Agriculture,0.48177636234961074
CH_044_ZH,Forest,0.2413305024769993
CH_045_ZH,Urban,0.20649803750545137
CH_045_ZH,Agriculture,0.623637156563454
CH_045_ZH,Forest,0.16986480593109463
CH_046_ZH,Urban,0.3825191093386507
CH_046_ZH,Agriculture,0.4273845131272848
CH_046_ZH,Forest,0.19009637753406447
CH_047_ZH,Urban,0.21888094651220114
CH_047_ZH,Agriculture,0.4187823514912497
CH_047_ZH,Forest,0.36233670199654916
CH_048_ZH,Urban,0.2125620400479206
CH_048_ZH,Agriculture,0.5310628102002396
CH_048_ZH,Forest,0.2563751497518398
CH_049_ZH,Urban,0.29277464410421705
CH_049_ZH,Agriculture,0.40128928283642223
CH_049_ZH,Forest,0.3059360730593607
CH_050_ZH,Urban,0.1001100110011001
CH_050_ZH,Agriculture,0.6113468489706113
CH_050_ZH,Forest,0.28854314002828857
CH_054_FR,Urban,0.2033946251768034
CH_054_FR,Agriculture,0.6630834512022631
CH_054_FR,Forest,0.1335219236209335
CH_058_BE,Urban,0.10432519022827393
CH_058_BE,Agriculture,0.5420504605526631
CH_058_BE,Forest,0.3536243492190629
CH_059_BE,Urban,0.15319148936170213
CH_059_BE,Agriculture,0.6573049645390071
CH_059_BE,Forest,0.1895035460992908
CH_060_BE,Urban,0.0725912067352666
CH_060_BE,Agriculture,0.6662301216089803
CH_060_BE,Forest,0.26117867165575304
CH_063_BE,Urban,0.15965439519158528
CH_063_BE,Agriculture,0.4496619083395943
CH_063_BE,Forest,0.39068369646882045
