sample,project,type,season,site_code
FCN-1A,NAWA-TREND,n_control,NA,NA
FCN-1B,NAWA-TREND,n_control,NA,NA
FCN-1C,NAWA-TREND,n_control,NA,NA
FCN-1D,NAWA-TREND,n_control,NA,NA
FCN-2A,NAWA-TREND,n_control,NA,NA
FCN-2B,NAWA-TREND,n_control,NA,NA
FCN-3A,NAWA-TREND,n_control,NA,NA
FCN-3B,NAWA-TREND,n_control,NA,NA
FCN-4A,NAWA-TREND,n_control,NA,NA
FCN-4B,NAWA-TREND,n_control,NA,NA
PCN-1,NAWA-TREND,n_control,NA,NA
PCN-2,NAWA-TREND,n_control,NA,NA
PCN-3,NAWA-TREND,n_control,NA,NA
PCN-4,NAWA-TREND,n_control,NA,NA
PCP-1,NAWA-TREND,p_control,NA,NA
PCP-2,NAWA-TREND,p_control,NA,NA
PCP-3,NAWA-TREND,p_control,NA,NA
PCP-4,NAWA-TREND,p_control,NA,NA
T002-BSL1,NAWA-TREND,sample,spring,CH_002_BS
T002-BSL2,NAWA-TREND,sample,spring,CH_002_BS
T002-BSR1,NAWA-TREND,sample,spring,CH_002_BS
T002-BSR2,NAWA-TREND,sample,spring,CH_002_BS
T007-BEL1,NAWA-TREND,sample,spring,CH_007_BE
T007-BEL2,NAWA-TREND,sample,spring,CH_007_BE
T007-BER1,NAWA-TREND,sample,spring,CH_007_BE
T007-BER2,NAWA-TREND,sample,spring,CH_007_BE
T009-SOL1,NAWA-TREND,sample,spring,CH_009_SO
T009-SOL2,NAWA-TREND,sample,spring,CH_009_SO
T009-SOR1,NAWA-TREND,sample,spring,CH_009_SO
T009-SOR2,NAWA-TREND,sample,spring,CH_009_SO
T011-SOL1,NAWA-TREND,sample,spring,CH_011_SO
T011-SOL2,NAWA-TREND,sample,spring,CH_011_SO
T011-SOR1,NAWA-TREND,sample,spring,CH_011_SO
T011-SOR2,NAWA-TREND,sample,spring,CH_011_SO
T012-OWL1,NAWA-TREND,sample,spring,CH_012_OW
T012-OWL2,NAWA-TREND,sample,spring,CH_012_OW
T012-OWR1,NAWA-TREND,sample,spring,CH_012_OW
T012-OWR2,NAWA-TREND,sample,spring,CH_012_OW
T014-LUL1,NAWA-TREND,sample,spring,CH_014_LU
T014-LUL2,NAWA-TREND,sample,spring,CH_014_LU
T014-LUR1,NAWA-TREND,sample,spring,CH_014_LU
T014-LUR2,NAWA-TREND,sample,spring,CH_014_LU
T015-VSL1,NAWA-TREND,sample,spring,CH_015_VS
T015-VSL2,NAWA-TREND,sample,spring,CH_015_VS
T015-VSR1,NAWA-TREND,sample,spring,CH_015_VS
T015-VSR2,NAWA-TREND,sample,spring,CH_015_VS
T016-VSL1,NAWA-TREND,sample,spring,CH_016_VS
T016-VSL2,NAWA-TREND,sample,spring,CH_016_VS
T016-VSR1,NAWA-TREND,sample,spring,CH_016_VS
T016-VSR2,NAWA-TREND,sample,spring,CH_016_VS
T017-VSL1,NAWA-TREND,sample,spring,CH_017_VS
T017-VSL2,NAWA-TREND,sample,spring,CH_017_VS
T017-VSR1,NAWA-TREND,sample,spring,CH_017_VS
T017-VSR2,NAWA-TREND,sample,spring,CH_017_VS
T018-VSL1,NAWA-TREND,sample,spring,CH_018_VS
T018-VSL2,NAWA-TREND,sample,spring,CH_018_VS
T018-VSR1,NAWA-TREND,sample,spring,CH_018_VS
T018-VSR2,NAWA-TREND,sample,spring,CH_018_VS
T020-VDL1,NAWA-TREND,sample,spring,CH_020_VD
T020-VDL2,NAWA-TREND,sample,spring,CH_020_VD
T020-VDR1,NAWA-TREND,sample,spring,CH_020_VD
T020-VDR2,NAWA-TREND,sample,spring,CH_020_VD
T021-VDL1,NAWA-TREND,sample,spring,CH_021_VD
T021-VDL2,NAWA-TREND,sample,spring,CH_021_VD
T021-VDR1,NAWA-TREND,sample,spring,CH_021_VD
T021-VDR2,NAWA-TREND,sample,spring,CH_021_VD
T022-VDL1,NAWA-TREND,sample,spring,CH_022_VD
T022-VDL2,NAWA-TREND,sample,spring,CH_022_VD
T022-VDR1,NAWA-TREND,sample,spring,CH_022_VD
T022-VDR2,NAWA-TREND,sample,spring,CH_022_VD
T023-SGL1,NAWA-TREND,sample,spring,CH_023_SG
T023-SGL2,NAWA-TREND,sample,spring,CH_023_SG
T023-SGR1,NAWA-TREND,sample,spring,CH_023_SG
T023-SGR2,NAWA-TREND,sample,spring,CH_023_SG
T025-SGL1,NAWA-TREND,sample,spring,CH_025_SG
T025-SGL2,NAWA-TREND,sample,spring,CH_025_SG
T025-SGR1,NAWA-TREND,sample,spring,CH_025_SG
T025-SGR2,NAWA-TREND,sample,spring,CH_025_SG
T026-SGL1,NAWA-TREND,sample,spring,CH_026_SG
T026-SGL2,NAWA-TREND,sample,spring,CH_026_SG
T026-SGR1,NAWA-TREND,sample,spring,CH_026_SG
T026-SGR2,NAWA-TREND,sample,spring,CH_026_SG
T027-SGL1,NAWA-TREND,sample,spring,CH_027_SG
T027-SGL2,NAWA-TREND,sample,spring,CH_027_SG
T027-SGR1,NAWA-TREND,sample,spring,CH_027_SG
T027-SGR2,NAWA-TREND,sample,spring,CH_027_SG
T028-SGL1,NAWA-TREND,sample,spring,CH_028_SG
T028-SGL2,NAWA-TREND,sample,spring,CH_028_SG
T028-SGR1,NAWA-TREND,sample,spring,CH_028_SG
T028-SGR2,NAWA-TREND,sample,spring,CH_028_SG
T032-AGL1,NAWA-TREND,sample,spring,CH_032_AG
